rep,method,dataset,model,r2,inf_mean,sens_mean,suff_mean,spars_mean
2,CCRA,imbalanced,mlp,0.8259957574944186,0.04189846899926782,1.2803438833729166,0.715665178089244,0.0
2,Gately,imbalanced,mlp,0.8259957574944186,0.07401757041027394,1.8924956394383075,0.9574412392250486,0.0
2,Shapley_Shubik,imbalanced,mlp,0.8259957574944186,0.044713448452200294,1.95094999323955,0.798276123981736,0.6066666666666667
2,Nucleolus,imbalanced,mlp,0.8259957574944186,0.06402359801640742,1.8241831947061131,0.8834345463105263,0.7466666666666665
0,KernelExplainer,highdim,mlp,0.6177124313388191,0.14590317612585654,1.5236071314532051,0.8071660330856303,0.9800000000000001
0,Shapley_MC,highdim,mlp,0.6177124313388191,0.1548147744678219,1.3420529766239497,0.7548851722408048,0.006800000000000006
0,Banzhaf_MC,highdim,mlp,0.6177124313388191,0.17241013718737333,1.2872748312470226,0.7248881906045743,0.008200000000000008
0,CEqL,highdim,mlp,0.6177124313388191,0.09282009177742505,0.9488605881082925,0.49083620965733643,0.9899333333333334
0,CCRA,highdim,mlp,0.6177124313388191,0.13807798899161247,0.7051199369067807,0.43943417916260075,0.29233333333333333
0,Gately,highdim,mlp,0.6177124313388191,0.19111154659806515,1.3160521785265809,0.7281698171981811,0.002533333333333336
0,Shapley_Shubik,highdim,mlp,0.6177124313388191,0.07805393322137107,2.0071156079224233,0.7467673496318787,0.7270666666666667
1,KernelExplainer,highdim,mlp,0.6806310644041037,0.19312380270089846,1.9488909307713564,0.7079761161631735,0.9800000000000001
1,Shapley_MC,highdim,mlp,0.6806310644041037,0.2063866949215,1.7002483087247784,0.631033810361706,0.006333333333333339
1,Banzhaf_MC,highdim,mlp,0.6806310644041037,0.21732724613427237,1.7043250676862596,0.6294195658635299,0.007266666666666673
1,CEqL,highdim,mlp,0.6806310644041037,0.13129123348221047,1.3743201893181962,0.4615095408377721,0.9895333333333334
1,CCRA,highdim,mlp,0.6806310644041037,0.18959683468506788,0.6624579165672679,0.32227490008887494,0.33486666666666665
1,Gately,highdim,mlp,0.6806310644041037,0.23546292445446643,1.7715967329573352,0.6706443651977527,0.0018000000000000017
1,Shapley_Shubik,highdim,mlp,0.6806310644041037,0.10792878395001605,2.2343146918983163,0.737298376527344,0.739
2,KernelExplainer,highdim,mlp,0.671249173280283,0.16642445257278704,2.19356755426427,0.6734590062965595,0.9800000000000001
2,Shapley_MC,highdim,mlp,0.671249173280283,0.2153399137772413,2.141027512956879,0.667179028466182,0.0046666666666666705
2,Banzhaf_MC,highdim,mlp,0.671249173280283,0.2275634162928023,2.143351531452591,0.6654254181575482,0.006600000000000006
2,CEqL,highdim,mlp,0.671249173280283,0.12464545704306679,1.4782289878464454,0.4431285370663261,0.9922000000000001
2,CCRA,highdim,mlp,0.671249173280283,0.13113418075973454,0.8021234394919529,0.33999013720784144,0.4278666666666666
2,Gately,highdim,mlp,0.671249173280283,0.2736274744641036,2.1794044519861457,0.6736846114546241,0.0016000000000000014
2,Shapley_Shubik,highdim,mlp,0.671249173280283,0.12076757832754609,2.629453215304856,0.74272562619902,0.7569333333333333
